Metric,Value
design__lint_error__count,0
design__lint_timing_construct__count,0
design__lint_warning__count,8
design__inferred_latch__count,0
design__instance__count,8921
design__instance__area,14036
design__instance_unmapped__count,0
synthesis__check_error__count,0
design__max_slew_violation__count__corner:nom_tt_025C_1v80,0
design__max_fanout_violation__count__corner:nom_tt_025C_1v80,4
design__max_cap_violation__count__corner:nom_tt_025C_1v80,0
power__internal__total,0.00007549859583377838
power__switching__total,0.00003887548518832773
power__leakage__total,7.140067648236936E-9
power__total,0.00011438121873652562
clock__skew__worst_hold__corner:nom_tt_025C_1v80,-0.26105054967698615
clock__skew__worst_setup__corner:nom_tt_025C_1v80,0.2616715529433734
timing__hold__ws__corner:nom_tt_025C_1v80,0.8580216779933473
timing__setup__ws__corner:nom_tt_025C_1v80,13.984138687287802
timing__hold__tns__corner:nom_tt_025C_1v80,0.0
timing__setup__tns__corner:nom_tt_025C_1v80,0.0
timing__hold__wns__corner:nom_tt_025C_1v80,0
timing__setup__wns__corner:nom_tt_025C_1v80,0.0
timing__hold_vio__count__corner:nom_tt_025C_1v80,0
timing__hold_r2r__ws__corner:nom_tt_025C_1v80,0.858022
timing__hold_r2r_vio__count__corner:nom_tt_025C_1v80,0
timing__setup_vio__count__corner:nom_tt_025C_1v80,0
timing__setup_r2r__ws__corner:nom_tt_025C_1v80,21.583780
timing__setup_r2r_vio__count__corner:nom_tt_025C_1v80,0
design__max_slew_violation__count__corner:nom_ss_100C_1v60,0
design__max_fanout_violation__count__corner:nom_ss_100C_1v60,4
design__max_cap_violation__count__corner:nom_ss_100C_1v60,0
clock__skew__worst_hold__corner:nom_ss_100C_1v60,-0.26552591432697337
clock__skew__worst_setup__corner:nom_ss_100C_1v60,0.2661507478629039
timing__hold__ws__corner:nom_ss_100C_1v60,1.909814138668414
timing__setup__ws__corner:nom_ss_100C_1v60,13.380796405186562
timing__hold__tns__corner:nom_ss_100C_1v60,0.0
timing__setup__tns__corner:nom_ss_100C_1v60,0.0
timing__hold__wns__corner:nom_ss_100C_1v60,0
timing__setup__wns__corner:nom_ss_100C_1v60,0.0
timing__hold_vio__count__corner:nom_ss_100C_1v60,0
timing__hold_r2r__ws__corner:nom_ss_100C_1v60,1.909814
timing__hold_r2r_vio__count__corner:nom_ss_100C_1v60,0
timing__setup_vio__count__corner:nom_ss_100C_1v60,0
timing__setup_r2r__ws__corner:nom_ss_100C_1v60,18.386961
timing__setup_r2r_vio__count__corner:nom_ss_100C_1v60,0
design__max_slew_violation__count__corner:nom_ff_n40C_1v95,0
design__max_fanout_violation__count__corner:nom_ff_n40C_1v95,4
design__max_cap_violation__count__corner:nom_ff_n40C_1v95,0
clock__skew__worst_hold__corner:nom_ff_n40C_1v95,-0.25857991479926223
clock__skew__worst_setup__corner:nom_ff_n40C_1v95,0.25919359059347974
timing__hold__ws__corner:nom_ff_n40C_1v95,0.4770912688839227
timing__setup__ws__corner:nom_ff_n40C_1v95,14.23252489480914
timing__hold__tns__corner:nom_ff_n40C_1v95,0.0
timing__setup__tns__corner:nom_ff_n40C_1v95,0.0
timing__hold__wns__corner:nom_ff_n40C_1v95,0
timing__setup__wns__corner:nom_ff_n40C_1v95,0.0
timing__hold_vio__count__corner:nom_ff_n40C_1v95,0
timing__hold_r2r__ws__corner:nom_ff_n40C_1v95,0.477091
timing__hold_r2r_vio__count__corner:nom_ff_n40C_1v95,0
timing__setup_vio__count__corner:nom_ff_n40C_1v95,0
timing__setup_r2r__ws__corner:nom_ff_n40C_1v95,22.689989
timing__setup_r2r_vio__count__corner:nom_ff_n40C_1v95,0
design__max_slew_violation__count,0
design__max_fanout_violation__count,4
design__max_cap_violation__count,0
clock__skew__worst_hold,-0.2575914277013309
clock__skew__worst_setup,0.2580147002414402
timing__hold__ws,0.4561272599839306
timing__setup__ws,13.34397696775657
timing__hold__tns,0.0
timing__setup__tns,0.0
timing__hold__wns,0
timing__setup__wns,0.0
timing__hold_vio__count,0
timing__hold_r2r__ws,0.456127
timing__hold_r2r_vio__count,0
timing__setup_vio__count,0
timing__setup_r2r__ws,18.276855
timing__setup_r2r_vio__count,0
design__die__bbox,0.0 0.0 600.0 1000.0
design__core__bbox,5.52 10.88 594.32 987.36
design__io,619
design__die__area,600000
design__core__area,574951
design__instance__count__stdcell,8921
design__instance__area__stdcell,14036
design__instance__count__macros,0
design__instance__area__macros,0
design__instance__utilization,0.0244124
design__instance__utilization__stdcell,0.0244124
design__instance__count__class:buffer,28
design__instance__count__class:inverter,2
design__instance__count__class:sequential_cell,20
design__instance__count__class:multi_input_combinational_cell,586
flow__warnings__count,1
flow__errors__count,0
design__instance__count__class:fill_cell,57406
design__instance__count__class:tap_cell,8122
design__power_grid_violation__count__net:vccd1,0
design__power_grid_violation__count__net:vssd1,0
design__power_grid_violation__count,0
floorplan__design__io,617
design__io__hpwl,279287756
timing__drv__floating__nets,0
timing__drv__floating__pins,0
design__instance__displacement__total,0
design__instance__displacement__mean,0
design__instance__displacement__max,0
route__wirelength__estimated,16824.3
design__violations,0
design__instance__count__class:timing_repair_buffer,67
design__instance__count__class:clock_buffer,3
design__instance__count__class:clock_inverter,1
design__instance__count__setup_buffer,0
design__instance__count__hold_buffer,36
antenna__violating__nets,0
antenna__violating__pins,0
route__antenna_violation__count,0
design__instance__count__class:antenna_cell,92
antenna_diodes_count,0
route__net,751
route__net__special,2
route__drc_errors__iter:1,255
route__wirelength__iter:1,15836
route__drc_errors__iter:2,199
route__wirelength__iter:2,15778
route__drc_errors__iter:3,183
route__wirelength__iter:3,15786
route__drc_errors__iter:4,0
route__wirelength__iter:4,15794
route__drc_errors,0
route__wirelength,15794
route__vias,2480
route__vias__singlecut,2480
route__vias__multicut,0
design__disconnected_pin__count,42
design__critical_disconnected_pin__count,0
route__wirelength__max,1094.65
timing__unannotated_net__count__corner:nom_tt_025C_1v80,587
timing__unannotated_net_filtered__count__corner:nom_tt_025C_1v80,0
timing__unannotated_net__count__corner:nom_ss_100C_1v60,587
timing__unannotated_net_filtered__count__corner:nom_ss_100C_1v60,0
timing__unannotated_net__count__corner:nom_ff_n40C_1v95,587
timing__unannotated_net_filtered__count__corner:nom_ff_n40C_1v95,0
design__max_slew_violation__count__corner:min_tt_025C_1v80,0
design__max_fanout_violation__count__corner:min_tt_025C_1v80,4
design__max_cap_violation__count__corner:min_tt_025C_1v80,0
clock__skew__worst_hold__corner:min_tt_025C_1v80,-0.2596294086541221
clock__skew__worst_setup__corner:min_tt_025C_1v80,0.2600543465288154
timing__hold__ws__corner:min_tt_025C_1v80,0.8366457763395702
timing__setup__ws__corner:min_tt_025C_1v80,14.01037903126155
timing__hold__tns__corner:min_tt_025C_1v80,0.0
timing__setup__tns__corner:min_tt_025C_1v80,0.0
timing__hold__wns__corner:min_tt_025C_1v80,0
timing__setup__wns__corner:min_tt_025C_1v80,0.0
timing__hold_vio__count__corner:min_tt_025C_1v80,0
timing__hold_r2r__ws__corner:min_tt_025C_1v80,0.836646
